Path,Belongs to,What it is for
index.php,Kirby,"Single web entry point. Every HTTP request lands here; it boots Kirby (require kirby/bootstrap.php), which then dispatches to a template / route / panel. Standard Kirby convention — the file Deco could not exist without but does not own."
composer.json,Kirby,"PHP dependency manifest. Pins the Kirby version and declares the PHP autoloader. Exists because Kirby is installed via Composer."
.gitignore,Project meta,"Tells git which paths not to track: Kirby's runtime artefacts (media/, site/cache, site/sessions, site/accounts beyond stubs), Deco's local snapshot store (library/* except .gitkeep), and per-page content JSON (content/*/instances.json, groups.json, page.json — Deco data is local-only by design). Also OS junk."
VERSION,Deco,"Deco's semver (e.g. 0.8.288). Read by site/config/config.php and used as ?v= cache-buster on every CSS/JS include so a bump invalidates browsers automatically. Bumped on every iteration of edits."
SCHEMA_VERSION,Deco,"On-disk snapshot-envelope schema version (currently 1). Bumped only when the library/<name>/meta.json envelope changes shape incompatibly. Snapshots → Load refuses on mismatch. NOT the same as the per-page CONTENT_SCHEMA_VERSION (currently 11) defined inside scripts/migrate-content.php."
HANDOFF.md,Project meta (Deco docs),"Multi-thousand-line briefing for any Claude / human picking up Deco development. Architecture, decisions, versions, diagnostic tools, gotchas. Read on session start."
CLAUDE.md,Project meta (Deco docs),"Project-level Claude instructions: read HANDOFF first, behavioural rules, schema-version bump protocol, progressive-disclosure UI rule."
NOTES.md,Project meta (Deco docs),"Free-form working notes. Not consumed by any code."
project-hierarchy.csv,Project meta (Deco docs),"Older filesystem inventory (pre-Deco-naming, pre-Kirby/Deco split). Superseded by this file but kept for reference."
_projecthierarchy.csv,Project meta (Deco docs),"Earlier draft of the same. Same role as project-hierarchy.csv."
_projecthierarchy.numbers,Project meta (Deco docs),"Apple Numbers spreadsheet variant of the same inventory. Manual reference only."
zoom.html,Deco (standalone),"Standalone HTML page (no Kirby in the loop) used to prototype browser-zoom counter-scaling for the editor canvas. Diagnostic / R&D artefact."
zoomtest.html,Deco (standalone),"Variant of zoom.html with additional test scaffolding. Same role."
kirby/,Kirby,"The entire vendored Kirby CMS (src, panel, dependencies, i18n, etc.). Do not edit. Updated only by replacing this directory with a new Kirby release."
media/,Kirby,"Where Kirby writes generated image thumbnails and other on-demand cached media. Holds only an index.html directory-listing stub in this project (Kirby's own files are gitignored)."
scripts/,Deco,"Maintenance scripts owned by Deco."
scripts/migrate-content.php,Deco,"Per-page content-shape migration runner. Defines CONTENT_SCHEMA_VERSION (currently 11) and the chain of v(N) → v(N+1) callables that upgrade each content/<page>/page.json on load. The other half of the two-tier schema-versioning model (the snapshot envelope is the other axis, see SCHEMA_VERSION)."
library/,Deco,"Local snapshot store. Each subdirectory is one named snapshot of Deco's content. Created by the editor's Snapshots → Save. Gitignored except for .gitkeep. Current snapshots present: ""Move text"", ""Test following objects"", ""W textblock""."
