Category,Path,Role
Project root,index.php,"The single web entry. Every HTTP request lands here; it boots Kirby (the CMS) which then dispatches to a template / route / panel."
Project root,composer.json,"PHP dependency manifest. Lists Kirby version and any other Composer packages; tells the PHP autoloader where classes live."
Project root,VERSION,"App semver (e.g. 0.8.46). Read by site/config/config.php and used as ?v= cache-buster on every CSS/JS include so a bump invalidates browsers automatically. Bumped on every commit."
Project root,SCHEMA_VERSION,"On-disk content schema version (currently 1). Bumped only when the data shape changes incompatibly. Embedded in each snapshot's meta.json; Snapshots → Load refuses on mismatch."
Project root,NOTES.md,"Free-form working notes. Not consumed by any code."
Project root,.gitignore,"Tells git which paths not to track — runtime artifacts (site/cache, site/sessions, media, site/accounts), the local library/* snapshot store except .gitkeep, OS junk (.DS_Store, Thumbs.db)."
Project root,.git/,"Git's own working data (commit history, objects, refs). Hidden from most file listings; managed entirely by git."
assets/,assets/css/style.css,"Public-site stylesheet. Loaded on every page. Defines design tokens (--accent: #ff5500, --text, fonts) referenced from everywhere."
assets/,assets/css/dev-draw.css,"Editor-only stylesheet. Loaded by site/templates/draw.php; never reaches public pages."
assets/,assets/js/app.js,"Runtime renderer. Reads the inlined <script id=""lines-data""> payload that lines-layer.php writes, picks a viewport class, paints SVG paths, drives GSAP/ScrollTrigger animations. Loaded on every public page."
assets/,assets/js/dev-draw.js,"The editor itself — drawing tools, selection, group/master/palette UIs, snapshots, orphans dialog, save endpoint client. Loaded only on /dev/draw."
assets/,assets/js/dev-page.js,"Phase 2 rect-block editor (vanilla JS, no build). Loaded only on /dev/page. Renders absolute-positioned rect stubs, pointer move/resize (+shift aspect-lock), numeric x/y/w/h fields, chapter management, per-rect note, save to dev/page/save."
assets/,assets/css/dev-page.css,"Phase 2 /dev/page editor styling — dark dev-tool chrome mirroring /dev/draw. Kind-coloured rect stubs, selection panel, geom fields."
assets/,assets/css/canvas-page.css,"Phase 2 runtime stub styling for canvas-page.php. Kind colours duplicated from dev-page.css (single source of truth deferred to Slice 7)."
assets/,assets/css/image-workshop.css,"Phase 2 /dev/image-workshop styling — shares the dark dev-tool chrome. Used by both the batch index and the comparison grid (cards, type-or-pick size combo, busy overlay, draft badge, verdict filter bar + per-card toggle + card tints)."
assets/,assets/js/gsap.min.js,"GreenSock Animation Platform (vendored). Drives all timed/scroll animation."
assets/,assets/js/ScrollTrigger.min.js,"GSAP plugin: lets tweens react to scroll position."
assets/,assets/js/Draggable.min.js,"GSAP plugin: drag-and-drop primitives (currently unused but kept for future)."
